All Transactions Activity Types

Account Activity for Individual Brokerage -6829 from 2024-05-28 to 2026-05-28

Total:,-554.99

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
01/27/26,01/27/26,01/28/26,Sold,ORACLE CORP UNSOLICITED TRADE,ORCL,--,-43.0,174.938,7522.33,0.0,--,--
01/23/26,01/23/26,01/23/26,Dividend,ORACLE CORP DIVIDEND REINVESTMENT,ORCL,--,0.12,177.753,-21.33,0.0,--,--
01/23/26,01/23/26,01/23/26,Qualified Dividend,ORACLE CORP REC 01/23/26 PAY 01/23/26 RATE 0.00000000 QTY 0.00000000,ORCL,--,,,21.5,0.0,--,--
01/05/26,01/05/26,01/05/26,Dividend,WALMART INC DIVIDEND REINVESTMENT,WMT,--,0.002,111.824,-0.22,0.0,--,--
01/05/26,01/05/26,01/05/26,Qualified Dividend,WALMART INC REC 01/05/26 PAY 01/05/26 RATE 0.00000000 QTY 0.00000000,WMT,--,,,0.24,0.0,--,--
12/31/25,12/31/25,12/31/25,Dividend,BROADCOM INC DIVIDEND REINVESTMENT,AVGO,--,1.616,350.842,-566.96,0.0,--,--
12/31/25,12/31/25,12/31/25,Qualified Dividend,BROADCOM INC REC 12/31/25 PAY 12/31/25 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,567.3,0.0,--,--
12/26/25,12/26/25,12/26/25,Qualified Dividend,NVIDIA CORPORATION REC 12/26/25 PAY 12/26/25 RATE 0.00000000 QTY 0.00000000,NVDA,--,,,0.01,0.0,--,--
12/11/25,12/11/25,12/11/25,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.051,479.477,-24.45,0.0,--,--
12/11/25,12/11/25,12/11/25,Qualified Dividend,MICROSOFT CORP REC 12/11/25 PAY 12/11/25 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,24.71,0.0,--,--
11/19/25,11/19/25,11/20/25,Bought,NOKIA CP ADR UNSOLICITED TRADE,NOK,--,1.0,6.21,-6.21,0.0,--,--
11/12/25,11/12/25,11/13/25,Bought,NOKIA CP ADR UNSOLICITED TRADE,NOK,--,12.0,6.88,-82.56,0.0,--,--
10/17/25,10/17/25,10/20/25,Sold,APPLE INC UNSOLICITED TRADE,AAPL,--,-0.171,249.325,42.63,0.0,--,--
10/17/25,10/17/25,10/20/25,Bought,ORACLE CORP UNSOLICITED TRADE,ORCL,--,43.0,290.205,-12478.82,0.0,--,--
10/17/25,10/17/25,10/20/25,Sold,APPLE INC UNSOLICITED TRADE,AAPL,--,-50.0,249.31,12465.51,0.0,--,--
10/03/25,10/03/25,10/03/25,Online Transfer,ACH WITHDRAWL  REFID:627687395;,--,--,,,-500.0,0.0,--,--
10/02/25,10/02/25,10/02/25,Qualified Dividend,NVIDIA CORPORATION REC 10/02/25 PAY 10/02/25 RATE 0.00000000 QTY 0.00000000,NVDA,--,,,0.01,0.0,--,--
09/30/25,09/30/25,09/30/25,Qualified Dividend,BROADCOM INC REC 09/30/25 PAY 09/30/25 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,514.93,0.0,--,--
09/30/25,09/30/25,09/30/25,Interest Income,MORGAN STANLEY PRIVATE BANK NA (Period 09/01-09/30),MSPBNA,--,,,0.01,0.0,--,--
09/23/25,09/23/25,09/23/25,Online Transfer,ACH WITHDRAWL  REFID:149316307906;,--,--,,,-1500.0,0.0,--,--
09/11/25,09/11/25,09/11/25,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.045,501.842,-22.5,0.0,--,--
09/11/25,09/11/25,09/11/25,Qualified Dividend,MICROSOFT CORP REC 09/11/25 PAY 09/11/25 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,22.5,0.0,--,--
09/02/25,09/02/25,09/02/25,Dividend,WALMART INC DIVIDEND REINVESTMENT,WMT,--,0.003,96.451,-0.24,0.0,--,--
09/02/25,09/02/25,09/02/25,Qualified Dividend,WALMART INC REC 09/02/25 PAY 09/02/25 RATE 0.00000000 QTY 0.00000000,WMT,--,,,0.24,0.0,--,--
08/29/25,08/29/25,08/29/25,Interest Income,MORGAN STANLEY PRIVATE BANK NA (Period 08/01-08/31),MSPBNA,--,,,0.01,0.0,--,--
08/14/25,08/14/25,08/14/25,Dividend,APPLE INC DIVIDEND REINVESTMENT,AAPL,--,0.056,232.759,-13.03,0.0,--,--
08/14/25,08/14/25,08/14/25,Qualified Dividend,APPLE INC REC 08/14/25 PAY 08/14/25 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,13.03,0.0,--,--
07/31/25,07/31/25,07/31/25,Interest Income,MORGAN STANLEY PRIVATE BANK NA (Period 07/01-07/31),MSPBNA,--,,,0.1,0.0,--,--
07/24/25,07/24/25,07/24/25,Online Transfer,ACH WITHDRAWL  REFID:143818310906;,--,--,,,-5000.0,0.0,--,--
07/11/25,07/11/25,07/11/25,Online Transfer,ACH WITHDRAWL  REFID:142731831906;,--,--,,,-10000.0,0.0,--,--
07/10/25,07/10/25,07/10/25,Online Transfer,ACH WITHDRAWL  REFID:142636987906;,--,--,,,-5000.0,0.0,--,--
07/10/25,07/10/25,07/11/25,Sold,BROADCOM INC UNSOLICITED TRADE,AVGO,--,-50.0,280.0,13990.05,9.95,--,--
07/08/25,07/08/25,07/08/25,Online Transfer,ACH WITHDRAWL  REFID:142429893906;,--,--,,,-20000.0,0.0,--,--
07/03/25,07/03/25,07/03/25,Qualified Dividend,NVIDIA CORPORATION REC 07/03/25 PAY 07/03/25 RATE 0.00000000 QTY 0.00000000,NVDA,--,,,0.01,0.0,--,--
06/30/25,06/30/25,06/30/25,Dividend,BROADCOM INC DIVIDEND REINVESTMENT,AVGO,--,2.224,270.784,-602.12,0.0,--,--
06/30/25,06/30/25,06/30/25,Qualified Dividend,BROADCOM INC REC 06/30/25 PAY 06/30/25 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,602.12,0.0,--,--
06/30/25,06/30/25,06/30/25,Interest Income,MORGAN STANLEY PRIVATE BANK NA (Period 06/01-06/30),MSPBNA,--,,,0.01,0.0,--,--
06/30/25,06/30/25,07/01/25,Sold,BROADCOM INC UNSOLICITED TRADE,AVGO,--,-50.0,275.0,13740.05,9.95,--,--
06/30/25,06/30/25,07/01/25,Sold,BROADCOM INC UNSOLICITED TRADE,AVGO,--,-50.0,275.0,13740.05,9.95,--,--
06/12/25,06/12/25,06/12/25,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.048,474.844,-22.46,0.0,--,--
06/12/25,06/12/25,06/12/25,Qualified Dividend,MICROSOFT CORP REC 06/12/25 PAY 06/12/25 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,22.46,0.0,--,--
05/27/25,05/27/25,05/27/25,Dividend,WALMART INC DIVIDEND REINVESTMENT,WMT,--,0.003,95.926,-0.24,0.0,--,--
05/27/25,05/27/25,05/27/25,Qualified Dividend,WALMART INC REC 05/27/25 PAY 05/27/25 RATE 0.00000000 QTY 0.00000000,WMT,--,,,0.24,0.0,--,--
05/15/25,05/15/25,05/15/25,Dividend,APPLE INC DIVIDEND REINVESTMENT,AAPL,--,0.061,213.016,-13.01,0.0,--,--
05/15/25,05/15/25,05/15/25,Qualified Dividend,APPLE INC REC 05/15/25 PAY 05/15/25 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,13.01,0.0,--,--
04/07/25,04/07/25,04/07/25,Dividend,WALMART INC DIVIDEND REINVESTMENT,WMT,--,0.003,86.021,-0.24,0.0,--,--
04/07/25,04/07/25,04/07/25,Qualified Dividend,WALMART INC REC 04/07/25 PAY 04/07/25 RATE 0.00000000 QTY 0.00000000,WMT,--,,,0.24,0.0,--,--
04/02/25,04/02/25,04/02/25,Qualified Dividend,NVIDIA CORPORATION REC 04/02/25 PAY 04/02/25 RATE 0.00000000 QTY 0.00000000,NVDA,--,,,0.01,0.0,--,--
03/31/25,03/31/25,03/31/25,Dividend,BROADCOM INC DIVIDEND REINVESTMENT,AVGO,--,3.546,169.245,-600.03,0.0,--,--
03/31/25,03/31/25,03/31/25,Qualified Dividend,BROADCOM INC REC 03/31/25 PAY 03/31/25 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,600.03,0.0,--,--
03/13/25,03/13/25,03/13/25,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.059,380.643,-22.41,0.0,--,--
03/13/25,03/13/25,03/13/25,Qualified Dividend,MICROSOFT CORP REC 03/13/25 PAY 03/13/25 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,22.41,0.0,--,--
02/13/25,02/13/25,02/13/25,Dividend,APPLE INC DIVIDEND REINVESTMENT,AAPL,--,0.054,234.102,-12.5,0.0,--,--
02/13/25,02/13/25,02/13/25,Qualified Dividend,APPLE INC REC 02/13/25 PAY 02/13/25 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,12.5,0.0,--,--
01/31/25,01/31/25,01/31/25,Interest Income,MORGAN STANLEY PRIVATE BANK NA (Period 01/01-01/31),MSPBNA,--,,,0.01,0.0,--,--
01/24/25,01/24/25,01/27/25,Bought,NVIDIA CORPORATION UNSOLICITED TRADE,NVDA,--,1.0,143.94,-143.94,0.0,--,--
01/24/25,01/24/25,01/27/25,Bought,BROADCOM INC UNSOLICITED TRADE,AVGO,--,4.0,246.305,-985.22,0.0,--,--
01/06/25,01/06/25,01/06/25,Qualified Dividend,WALMART INC REC 01/06/25 PAY 01/06/25 RATE 0.00000000 QTY 0.00000000,WMT,--,,,0.21,0.0,--,--
12/31/24,12/31/24,12/31/24,Qualified Dividend,BROADCOM INC REC 12/31/24 PAY 12/31/24 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,597.67,0.0,--,--
12/12/24,12/12/24,12/12/24,Qualified Dividend,MICROSOFT CORP REC 12/12/24 PAY 12/12/24 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,22.41,0.0,--,--
11/29/24,11/29/24,11/29/24,Interest Income,MORGAN STANLEY PRIVATE BANK NA (Period 11/01-11/30),MSPBNA,--,,,0.01,0.0,--,--
11/14/24,11/14/24,11/14/24,Qualified Dividend,APPLE INC REC 11/14/24 PAY 11/14/24 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,12.5,0.0,--,--
09/30/24,09/30/24,09/30/24,Qualified Dividend,BROADCOM INC REC 09/30/24 PAY 09/30/24 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,536.89,0.0,--,--
09/12/24,09/12/24,09/12/24,Dividend,MICROSOFT CORP REC 09/12/24 PAY 09/12/24 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,20.25,0.0,--,--
08/20/24,08/20/24,08/21/24,Bought,INTEL CORP UNSOLICITED TRADE,INTC,--,1.0,20.9,-20.9,0.0,--,--
08/20/24,08/20/24,08/21/24,Bought,WALMART INC UNSOLICITED TRADE,WMT,--,1.0,74.44,-74.44,0.0,--,--
08/20/24,08/20/24,08/21/24,Bought,BROADCOM INC UNSOLICITED TRADE,AVGO,--,3.0,165.07,-495.21,0.0,--,--
08/15/24,08/15/24,08/15/24,Dividend,APPLE INC REC 08/15/24 PAY 08/15/24 RATE 0.00000000 QTY 0.00000000,AAPL,--,,,12.5,0.0,--,--
07/31/24,07/31/24,07/31/24,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 07/01-07/31),MSPBNA,--,-0.01,,0.01,0.0,--,--
07/16/24,07/16/24,07/15/24,Reorganization,BROADCOM INC SPLIT RATIO 10:1,AVGO,--,909.0,,0.0,0.0,--,--
06/28/24,06/28/24,06/28/24,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 06/01-06/30),MSPBNA,--,-0.01,,0.01,0.0,--,--
06/28/24,06/28/24,06/28/24,Dividend,BROADCOM INC REC 06/29/24 PAY 06/29/24 RATE 0.00000000 QTY 0.00000000,AVGO,--,,,530.25,0.0,--,--
06/24/24,06/24/24,06/24/24,Dividend,BLACKROCK INC REC 06/24/24 PAY 06/24/24 RATE 0.00000000 QTY 0.00000000,BLK,--,,,61.2,0.0,--,--
06/21/24,06/21/24,06/21/24,Transfer,ACH WITHDRAWL  REFID:110449285906;,--,--,,,-9959.65,0.0,--,--
06/20/24,06/20/24,06/21/24,Sold,BLACKROCK INC UNSOLICITED TRADE,BLK,--,-12.0,782.02,9383.97,0.27,--,--
06/13/24,06/13/24,06/13/24,Dividend,MICROSOFT CORP REC 06/13/24 PAY 06/13/24 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,20.25,0.0,--,--
05/31/24,05/31/24,05/31/24,Interest,MORGAN STANLEY PRIVATE BANK NA (Period 05/01-05/31),MSPBNA,--,-0.01,,0.01,0.0,--,--



"For all accounts, the Activity Date and the Processing Date are displayed. However, for Morgan Stanley and Co. and Externally Held accounts, only the Activity Date is available; therefore, the Processing Date listed for these accounts will be equivalent to the Activity Date. Please rely on the official account statements of your Morgan Stanley & Co. or Externally Held account for the actual Processing Date of any of these assets, and refer to the definitions section for more information on these categories."

"The information provided with respect to your employee stock option plan (""ESOP"") was obtained from third party sources which Morgan Stanley believes to be reliable. However, we make no representation or guarantee that the information is accurate or complete. There may be other requirements, details, and criteria governing your ESOP. Please refer to the documentation provided by your employer for the terms and conditions governing your ESOP."

E*TRADE from Morgan Stanley credits and offers may be subject to U.S. withholding taxes and reporting at retail value. Taxes related to these credits and offers are the customer's responsibility.

"Under the Bank Deposit Program, free credit balances held in an account(s) at Morgan Stanley Smith Barney LLC are automatically deposited into an interest bearing deposit account(s), at FDIC-insured banks. For more information, view the Bank Deposit Program Disclosure Statement."

